form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763797,SB21B.47101,,,ORG,A&R PROTECTION SERVICES LLC,,,,,,1913 W BALTIMORE ST,APT F,BALTIMORE,MD,21223,,,2024-01-03,1500.00,,EVENT EXPENSE: SECURITY SERVICES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47305,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-02-29,5.15,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47306,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-01,1.54,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47307,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-04,3.75,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47308,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-05,8.80,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47309,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-06,2.48,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47310,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-07,11.10,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47311,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-08,1.14,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47312,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-11,0.82,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47313,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-12,0.59,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47314,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-13,3.18,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47315,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-14,8.79,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47316,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-15,2.21,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47317,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-18,2.77,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47318,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-19,3.88,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47319,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-20,4.09,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47320,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-21,3.23,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47321,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-22,0.74,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47322,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-25,1.18,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47323,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-26,2.71,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47324,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-27,1.67,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47325,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-28,5.63,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47326,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-03-29,0.39,,MERCHANT FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00763797,SB21B.47328,,,ORG,ZOKELA EVENTS,,,,,,5011 OVERTON ST,,BALTIMORE,MD,21229,,,2024-01-17,1500.00,,EVENT CONSULTING,,,,,,,,,,,,,,,,,,,,
