form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00763227,SB21B.I22420,,,ORG,"AMH PRINT GROUP, LLC",,,,,,P.O. BOX 518,,MECHANICSVILLE,VA,23111,,,2023-08-24,5866.85,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22494,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,20130 LAKEVIEW CENTER PLAZA,STE 300,ASHBURN,VA,20147,,,2023-12-14,613.27,,DIRECT MAIL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22509,,,ORG,PERSON2PERSON MESSAGING,,,,,,2800 SHIRLINGTON ROAD,STE 900,ARLINGTON,VA,22206,,,2023-12-31,695.20,,FUNDRAISING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22391,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-06,16047.48,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22394,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-10,22074.82,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22396,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-12,10000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22399,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-20,3994.81,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22400,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-21,8773.93,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22406,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-07-27,3742.84,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22410,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-08-04,2424.57,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22453,,,ORG,PLANET DIRECT MAIL,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2023-10-19,15756.23,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22439,,,ORG,"POSTAGE FOR DIRECT MAIL FUNDRAISING, LLC",,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-09-01,4399.06,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22440,,,ORG,"POSTAGE FOR DIRECT MAIL FUNDRAISING, LLC",,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2023-09-11,1338.45,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22502,,,ORG,RITE ENVELOPE & GRAPHICS INC,,,,,,250 BOOT ROAD,,DOWNINGTOWN,PA,19335,,,2023-12-21,3639.16,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22418,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2023-08-17,28912.57,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22422,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2023-08-25,12289.51,,POSTAGE & DELI,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22428,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2023-09-01,12144.50,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22472,,,ORG,RST MARKETING,,,,,,1272 CORPORATE PARK DRIVE,,FOREST,VA,24551,,,2023-11-02,6428.31,,PRINTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22507,,,ORG,"THE AVENTINE GROUP, LLC",,,,,,8748 BRECKSVILLE ROAD,STE 227,BRECKSVILLE,OH,44141,,,2023-12-31,4803.85,,FUNDRAISING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22506,,,ORG,TMA DIRECT INC,,,,,,1900 RESTON METRO PLAZA,STE 500,RESTON,VA,20190,,,2023-12-31,74853.55,,FUNDRAISING FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22392,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-07-06,2000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22395,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-07-11,2000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22423,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-08-02,1780.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22441,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-09-22,4000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22464,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-10-10,2000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22465,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-10-06,3000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22486,,,ORG,UNITED STATES POSTAL OFFICE,,,,,,"900 BRENTWOOD RD, NE #118",,WASHINGTON,DC,20066,,,2023-11-20,2000.00,,POSTAGE & SHIPPING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00763227,SB21B.I22504,,,ORG,WINRED TECHNICAL SERVICES,,,,,,1776 WILSON BOULEVARD,,ARLINGTON,VA,22209,,,2023-12-31,3889.59,,FUNDRAISING FEES,,,,,,,,,,,,,  ,,,,,,,
