form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00685297,500460473,,,CCM,ALLYSON FOR CONGRESS,,,,,,PO Box 1813,,Tustin,CA,927811813,P2024,,2023-09-22,5000.00,0.00,Contribution,,C00841072,,,DAMIKOLAS,ALLYSON,,,,H,CA,40,,,,,,,,
SB23,C00685297,500465003,,,CCM,Scholten For Congress,,,,,,PO Box 6233,,Grand Rapids,MI,495166233,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00711317,,,SCHOLTEN,HILLARY,,,,H,MI,03,,,,,,,,
SB23,C00685297,500460770,,,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,G2024,,2023-09-25,1000.00,0.00,Contribution,,C00670034,,,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
SB23,C00685297,500464971,,,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00670034,,,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
SB23,C00685297,500482065,,,CCM,Sharice For Congress,,,,,,13851 W 63Rd St,Num 303,Shawnee,KS,662163800,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00670034,,,DAVIDS,SHARICE,,,,H,KS,03,,,,,,,,
SB23,C00685297,500458071,,,CCM,"Sheila Cherfilus McCormick For Congress, Inc",,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,P2024,,2023-08-29,-1000.00,0.00,Void check dated 5.22.23. Reissued on 8.29.23,,C00677492,,,CHERFILUS-MCCORMICK,SHEILA,,,,H,FL,20,,,,,,,,
SB23,C00685297,500458072,,,CCM,"Sheila Cherfilus McCormick For Congress, Inc",,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,P2024,,2023-08-29,1000.00,0.00,Contribution reissued from 5.22.23,,C00677492,,,CHERFILUS-MCCORMICK,SHEILA,,,,H,FL,20,,,,,,,,
SB23,C00685297,500461075,,,CCM,"Sheila Cherfilus McCormick For Congress, Inc",,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,P2024,,2023-09-27,1000.00,0.00,Contribution,,C00677492,,,CHERFILUS-MCCORMICK,SHEILA,,,,H,FL,20,,,,,,,,
SB23,C00685297,500464967,,,CCM,"Sheila Cherfilus McCormick For Congress, Inc",,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00677492,,,CHERFILUS-MCCORMICK,SHEILA,,,,H,FL,20,,,,,,,,
SB23,C00685297,500460771,,,CCM,SHONTEL BROWN FOR CONGRESS,,,,,,PO Box 221232,,Beachwood,OH,441220996,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00764381,,,BROWN,M SHONTEL,,,,H,OH,11,,,,,,,,
SB23,C00685297,500464965,,,CCM,SHONTEL BROWN FOR CONGRESS,,,,,,PO Box 221232,,Beachwood,OH,441220996,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00764381,,,BROWN,M SHONTEL,,,,H,OH,11,,,,,,,,
SB23,C00685297,500482053,,,CCM,SHONTEL BROWN FOR CONGRESS,,,,,,PO Box 221232,,Beachwood,OH,441220996,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00764381,,,BROWN,M SHONTEL,,,,H,OH,11,,,,,,,,
SB23,C00685297,500460732,,,CCM,Spanberger For Congress,,,,,,PO Box 3121,,Glen Allen,VA,230583121,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00649913,,,SPANBERGER,ABIGAIL,,,,H,VA,07,,,,,,,,
SB23,C00685297,500460766,,,CCM,Strickland For Washington,,,,,,1625 E 72Nd St,Ste 700 Pmb 139,Tacoma,WA,984045455,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,,
SB23,C00685297,500465007,,,CCM,Strickland For Washington,,,,,,1625 E 72Nd St,Ste 700 Pmb 139,Tacoma,WA,984045455,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,,
SB23,C00685297,500482094,,,CCM,Strickland For Washington,,,,,,1625 E 72Nd St,Ste 700 Pmb 139,Tacoma,WA,984045455,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00732826,,,STRICKLAND,MARILYN,,,,H,WA,10,,,,,,,,
SB23,C00685297,500460772,,,CCM,Summer Lee For Congress,,,,,,PO Box 15320,,Washington,DC,200030320,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00791780,,,LEE,SUMMER,,,,H,PA,12,,,,,,,,
SB23,C00685297,500464989,,,CCM,Summer Lee For Congress,,,,,,PO Box 15320,,Washington,DC,200030320,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00791780,,,LEE,SUMMER,,,,H,PA,12,,,,,,,,
SB23,C00685297,500460773,,,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,G2024,,2023-09-25,1000.00,0.00,Contribution,,C00658567,,,WILD,SUSAN,,,,H,PA,15,,,,,,,,
SB23,C00685297,500482099,,,CCM,Susan Wild For Congress,,,,,,1636 N Cedar Crest Blvd,# 183,Allentown,PA,181042318,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00658567,,,WILD,SUSAN,,,,H,PA,15,,,,,,,,
SB23,C00685297,500460774,,,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215-382,Las Vegas,NV,891481732,G2024,,2023-09-25,1000.00,0.00,Contribution,,C00655613,,,LEE,SUSIE,,,,H,NV,03,,,,,,,,
SB23,C00685297,500464990,,,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215-382,Las Vegas,NV,891481732,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00655613,,,LEE,SUSIE,,,,H,NV,03,,,,,,,,
SB23,C00685297,500482077,,,CCM,Susie Lee For Congress,,,,,,5130 S Fort Apache Rd,Ste 215-382,Las Vegas,NV,891481732,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00655613,,,LEE,SUSIE,,,,H,NV,03,,,,,,,,
SB23,C00685297,500429193,,,CCM,SYDNEY KAMLAGER-DOVE FOR CONGRESS,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,P2024,,2023-08-21,500.00,0.00,Contribution,,C00795823,,,KAMLAGER,SYDNEY,,,,H,CA,37,,,,,,,,
SB23,C00685297,500460776,,,CCM,SYDNEY KAMLAGER-DOVE FOR CONGRESS,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00795823,,,KAMLAGER,SYDNEY,,,,H,CA,37,,,,,,,,
SB23,C00685297,500464987,,,CCM,SYDNEY KAMLAGER-DOVE FOR CONGRESS,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00795823,,,KAMLAGER,SYDNEY,,,,H,CA,37,,,,,,,,
SB23,C00685297,500482076,,,CCM,SYDNEY KAMLAGER-DOVE FOR CONGRESS,,,,,,777 S Figueroa St,Ste 4050,Los Angeles,CA,900175864,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00795823,,,KAMLAGER,SYDNEY,,,,H,CA,37,,,,,,,,
SB23,C00685297,500460777,,,CCM,Sylvia Garcia For Congress,,,,,,PO Box 8530,,Houston,TX,772498530,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00660555,,,GARCIA,SYLVIA R,,,,H,TX,29,,,,,,,,
SB23,C00685297,500464977,,,CCM,Sylvia Garcia For Congress,,,,,,PO Box 8530,,Houston,TX,772498530,P2024,,2023-10-31,500.00,0.00,Contribution,,C00660555,,,GARCIA,SYLVIA R,,,,H,TX,29,,,,,,,,
SB23,C00685297,500464978,,,CCM,Sylvia Garcia For Congress,,,,,,PO Box 8530,,Houston,TX,772498530,G2024,,2023-10-31,500.00,0.00,Contribution,,C00660555,,,GARCIA,SYLVIA R,,,,H,TX,29,,,,,,,,
SB23,C00685297,500482071,,,CCM,Sylvia Garcia For Congress,,,,,,PO Box 8530,,Houston,TX,772498530,P2024,,2023-12-14,1000.00,0.00,Contribution,,C00660555,,,GARCIA,SYLVIA R,,,,H,TX,29,,,,,,,,
SB23,C00685297,500460778,,,CCM,Teresa For All,,,,,,PO Box 2675,,Santa Fe,NM,875042675,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00704049,,,LEGER,TERESA,,,,H,NM,03,,,,,,,,
SB23,C00685297,500487975,,,CCM,Teresa For All,,,,,,PO Box 2675,,Santa Fe,NM,875042675,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00704049,,,LEGER,TERESA,,,,H,NM,03,,,,,,,,
SB23,C00685297,500464991,,,CCM,Teresa For All,,,,,,PO Box 2675,,Santa Fe,NM,875042675,P2024,,2023-12-14,500.00,0.00,Contribution,,C00704049,,,LEGER,TERESA,,,,H,NM,03,,,,,,,,
SB23,C00685297,500482079,,,CCM,Teresa For All,,,,,,PO Box 2675,,Santa Fe,NM,875042675,G2024,,2023-12-14,500.00,0.00,Contribution,,C00704049,,,LEGER,TERESA,,,,H,NM,03,,,,,,,,
SB23,C00685297,500458073,,,CCM,TITUS FOR CONGRESS,,,,,,PO Box 72454,,Las Vegas,NV,891702454,P2024,,2023-08-29,-1000.00,0.00,Void check sent 5.22.23. Reissued 8.29.23,,C00499467,,,TITUS,DINA,,,,H,NV,01,,,,,,,,
SB23,C00685297,500458074,,,CCM,TITUS FOR CONGRESS,,,,,,PO Box 72454,,Las Vegas,NV,891702454,P2024,,2023-08-29,1000.00,0.00,Contribution reissued from 5.22.23,,C00499467,,,TITUS,DINA,,,,H,NV,01,,,,,,,,
SB23,C00685297,500465009,,,CCM,TITUS FOR CONGRESS,,,,,,PO Box 72454,,Las Vegas,NV,891702454,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00499467,,,TITUS,DINA,,,,H,NV,01,,,,,,,,
SB23,C00685297,500460754,,,CCM,Tokuda For Hawaii,,,,,,PO Box 3193,,Honolulu,HI,968013193,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00813758,,,TOKUDA,JILL NAOMI,,,,H,HI,02,,,,,,,,
SB23,C00685297,500460745,,,CCM,United With Delia For Congress,,,,,,2339 N California Ave,Unit 47927,Chicago,IL,606470360,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00796672,,,RAMIREZ,DELIA,,,,H,IL,03,,,,,,,,
SB23,C00685297,500464998,,,CCM,United With Delia For Congress,,,,,,2339 N California Ave,Unit 47927,Chicago,IL,606470360,P2024,,2023-10-31,500.00,0.00,Contribution,,C00796672,,,RAMIREZ,DELIA,,,,H,IL,03,,,,,,,,
SB23,C00685297,500464999,,,CCM,United With Delia For Congress,,,,,,2339 N California Ave,Unit 47927,Chicago,IL,606470360,G2024,,2023-10-31,500.00,0.00,Contribution,,C00796672,,,RAMIREZ,DELIA,,,,H,IL,03,,,,,,,,
SB23,C00685297,500482086,,,CCM,United With Delia For Congress,,,,,,2339 N California Ave,Unit 47927,Chicago,IL,606470360,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00796672,,,RAMIREZ,DELIA,,,,H,IL,03,,,,,,,,
SB23,C00685297,500460780,,,CCM,Val Hoyle For Congress,,,,,,PO Box 657,,Springfield,OR,974770116,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00796144,,,HOYLE,VALERIE,,,,H,OR,04,,,,,,,,
SB23,C00685297,500464985,,,CCM,Val Hoyle For Congress,,,,,,PO Box 657,,Springfield,OR,974770116,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00796144,,,HOYLE,VALERIE,,,,H,OR,04,,,,,,,,
SB23,C00685297,500482074,,,CCM,Val Hoyle For Congress,,,,,,PO Box 657,,Springfield,OR,974770116,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00796144,,,HOYLE,VALERIE,,,,H,OR,04,,,,,,,,
SB23,C00685297,500460782,,,CCM,VERONICA ESCOBAR FOR CONGRESS,,,,,,PO Box 3961,,El Paso,TX,799233961,P2024,,2023-09-25,1000.00,0.00,Contribution,,C00653923,,,ESCOBAR,VERONICA,,,,H,TX,16,,,,,,,,
SB23,C00685297,500464974,,,CCM,VERONICA ESCOBAR FOR CONGRESS,,,,,,PO Box 3961,,El Paso,TX,799233961,G2024,,2023-10-31,1000.00,0.00,Contribution,,C00653923,,,ESCOBAR,VERONICA,,,,H,TX,16,,,,,,,,
SB23,C00685297,500482068,,,CCM,VERONICA ESCOBAR FOR CONGRESS,,,,,,PO Box 3961,,El Paso,TX,799233961,G2024,,2023-12-14,1000.00,0.00,Contribution,,C00653923,,,ESCOBAR,VERONICA,,,,H,TX,16,,,,,,,,
SB23,C00685297,500464996,,,CCM,Virgin Islands For Plaskett,,,,,,PO Box 1006,,Frederiksted,VI,008411006,P2024,,2023-10-31,1000.00,0.00,Contribution,,C00528182,,,PLASKETT,STACEY,,,,H,VI,00,,,,,,,,
