form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00139659,SB23.65334,,,CCM,ADAM FOR COLORADO,,,,,,PO BOX 371,,WOODY CREEK,CO,81656,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00805275,ADAM FOR COLORADO,H2CO03351,FRISCH,ADAM,,,,H,CO,03,,,,,,,X,
SB23,C00139659,SB23.64966,,,CCM,MARIE FOR CONGRESS,,,,,,PO BOX 1164,,WASHOUGAL,WA,98671,G2024,,2024-10-23,1500.00,,direct campaign contribution,,C00806174,MARIE FOR CONGRESS,H2WA03217,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,,
SB23,C00139659,SB23.65327,,,CCM,MARIE FOR CONGRESS,,,,,,PO BOX 1164,,WASHOUGAL,WA,98671,G2024,,2024-10-23,100.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00806174,MARIE FOR CONGRESS,H2WA03217,GLUESENKAMP PEREZ,MARIE,,,,H,WA,03,,,,,,,X,
SB23,C00139659,SB23.65321,,,CCM,MARLINGA FOR CONGRESS,,,,,,155 S.MAIN STREET,#672,MOUNT CLEMENS,MI,48046,G2024,,2024-10-24,200.00,,"earmarked conduit through ActBlue-Blanck, Roz",,C00807727,MARLINGA FOR CONGRESS,H2MI10176,MARLINGA,CARL J.,,,,H,MI,10,,,,,,,X,
SB23,C00139659,SB23.64982,,,CCM,MARLINGA FOR CONGRESS,,,,,,155 S.MAIN STREET,#672,MOUNT CLEMENS,MI,48046,G2024,,2024-10-28,1000.00,,direct campaign contribution,,C00807727,MARLINGA FOR CONGRESS,H2MI10176,MARLINGA,CARL J.,,,,H,MI,10,,,,,,,,
SB23,C00139659,SB23.65325,,,CCM,MIKE LEVIN FOR CONGRESS,,,,,,"555 CAPITOL MALL, SUITE 400",,SACRAMENTO,CA,95814,G2024,,2024-10-31,150.00,,"earmarked conduit through ActBlue-Shaewitz, Allison",,C00634253,MIKE LEVIN FOR CONGRESS,H8CA49058,LEVIN,MIKE,,,,H,CA,49,,,,,,,X,
SB23,C00139659,SB23.64972,,,CCM,MONDAIRE FOR CONGRESS,,,,,,PO BOX 873,,SLEEPY HOLLOW,NY,10591,G2024,,2024-10-23,1500.00,,direct campaign contribution,,C00711150,MONDAIRE FOR CONGRESS,H0NY17174,JONES,MONDAIRE,,,,H,NY,17,,,,,,,,
SB23,C00139659,SB23.65316,,,CCM,MONDAIRE FOR CONGRESS,,,,,,PO BOX 873,,SLEEPY HOLLOW,NY,10591,G2024,,2024-10-24,250.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00711150,MONDAIRE FOR CONGRESS,S0AL00156,JONES,DOUG,,,,S,AL,00,,,,,,,X,
SB23,C00139659,SB23.64981,,,CCM,MONDAIRE FOR CONGRESS,,,,,,PO BOX 873,,SLEEPY HOLLOW,NY,10591,G2024,,2024-10-28,1500.00,,direct campaign contribution,,C00711150,MONDAIRE FOR CONGRESS,H0NY17174,JONES,MONDAIRE,,,,H,NY,17,,,,,,,,
SB23,C00139659,SB23.64956,,,CCM,MONICA TRANEL FOR MONTANA,,,,,,PO BOX 9384,,MISSOULA,MT,59807,G2024,,2024-10-23,1500.00,,direct campaign contribution,,C00845008,MONICA TRANEL FOR MONTANA,H2MT02092,TRANEL,MONICA,,,,H,MT,01,,,,,,,,
SB23,C00139659,SB23.65312,,,CCM,MONTANANS FOR TESTER,,,,,,PO BOX 1135,,HELENA,MT,59624,G2024,,2024-10-18,250.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00412304,"TESTER, JON",,,,,,,S,MT,00,,,,,,,X,
SB23,C00139659,SB23.65313,,,CCM,MONTANANS FOR TESTER,,,,,,PO BOX 1135,,HELENA,MT,59624,G2024,,2024-10-23,50.00,,"earmarked conduit through ActBlue-Peck, Stephen",,C00412304,"TESTER, JON",,,,,,,S,MT,00,,,,,,,X,
SB23,C00139659,SB23.65314,,,CCM,MONTANANS FOR TESTER,,,,,,PO BOX 1135,,HELENA,MT,59624,G2024,,2024-10-31,25.00,,"earmarked conduit through ActBlue-Hacken, Carla",,C00412304,"TESTER, JON",,,,,,,S,MT,00,,,,,,,X,
SB23,C00139659,SB23.65315,,,CCM,NIKKI FOR CONGRESS,,,,,,PO BOX 5171,,SPRINGFIELD,IL,62705,G2024,,2024-10-17,250.00,,"earmarked conduit through ActBlue-Parmacek, Jacqueline",,C00787812,NIKKI FOR CONGRESS,H2IL13153,BUDZINSKI,NIKKI,,,,H,IL,13,,,,,,,X,
SB23,C00139659,SB23.65308,,,CCM,PAT RYAN FOR CONGRESS,,,,,,PO BOX 2113,,KINGSTON,NY,12402,G2024,,2024-10-23,150.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00815290,PAT RYAN FOR CONGRESS,H4CA27111,WHITESIDES,GEORGE,,,,H,CA,27,,,,,,,X,
SB23,C00139659,SB23.65309,,,CCM,PAT RYAN FOR CONGRESS,,,,,,PO BOX 2113,,KINGSTON,NY,12402,G2024,,2024-10-24,250.00,,"earmarked conduit through ActBlue-Small, Amy",,C00815290,PAT RYAN FOR CONGRESS,H8NY19223,RYAN,PATRICK,,,,H,NY,18,,,,,,,X,
SB23,C00139659,SB23.65310,,,CCM,PAT RYAN FOR CONGRESS,,,,,,PO BOX 2113,,KINGSTON,NY,12402,G2024,,2024-10-26,25.00,,"earmarked conduit through ActBlue-Small, Janine",,C00815290,PAT RYAN FOR CONGRESS,H8NY19223,RYAN,PATRICK,,,,H,NY,18,,,,,,,X,
SB23,C00139659,SB23.64999,,,CCM,RILEY FOR CONGRESS,,,,,,379 SUSIE WAY,APT 3,SOUTH SAN FRANCISC,CA,94080,G2024,,2024-10-30,2500.00,,direct campaign contribution,,C00807271,RILEY FOR CONGRESS,H8NY22177,RILEY,JOSH,,,,H,NY,19,,,,,,,,
SB23,C00139659,SB23.65353,,,CCM,RILEY FOR CONGRESS,,,,,,379 SUSIE WAY,APT 3,SOUTH SAN FRANCISC,CA,94080,G2024,,2024-11-04,1000.00,,"earmarked conduit through ActBlue-Washlow, Robert",,C00807271,RILEY FOR CONGRESS,H8NY22177,RILEY,JOSH,,,,H,NY,19,,,,,,,X,
SB23,C00139659,SB23.65488,,,CCM,RILEY FOR CONGRESS,,,,,,379 SUSIE WAY,APT 3,SOUTH SAN FRANCISC,CA,94080,G2024,,2024-11-04,1500.00,,direct campaign contribution,,C00807271,RILEY FOR CONGRESS,H8NY22177,RILEY,JOSH,,,,H,NY,19,,,,,,,,
SB23,C00139659,SB23.65284,,,CCM,ROSEN FOR NEVADA,,,,,,1000 N. GREEN VALLEY PKWY,#440-177,HENDERSON,NV,89074,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00606939,ROSEN FOR NEVADA,S8NV00156,ROSEN,JACKY,,,,S,NV,00,,,,,,,X,
SB23,C00139659,SB23.65285,,,CCM,ROSEN FOR NEVADA,,,,,,1000 N. GREEN VALLEY PKWY,#440-177,HENDERSON,NV,89074,G2024,,2024-10-29,1000.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00606939,ROSEN FOR NEVADA,S8NV00156,ROSEN,JACKY,,,,S,NV,00,,,,,,,X,
SB23,C00139659,SB23.65365,,,CCM,ROSEN FOR NEVADA,,,,,,1000 N. GREEN VALLEY PKWY,#440-177,HENDERSON,NV,89074,G2024,,2024-11-01,100.00,,"earmarked conduit through ActBlue-Hirsch, Marilyn",,C00606939,ROSEN FOR NEVADA,S8NV00156,ROSEN,JACKY,,,,S,NV,00,,,,,,,X,
SB23,C00139659,SB23.65484,,,CCM,RUDY SALAS FOR CONGRESS,,,,,,PO BOX 42257,,BAKERSFIELD,CA,93384,G2024,,2024-11-04,1000.00,,direct campaign contribution,,C00791756,RUDY SALAS FOR CONGRESS,H2CA21233,SALAS,RUDY,,,,H,CA,22,,,,,,,,
SB23,C00139659,SB23.64995,,,CCM,SHRI FOR CONGRESS,,,,,,19460 LOWELL DR,,DETROIT,MI,48203,G2024,,2024-10-28,1000.00,,direct campaign contribution,,C00798132,SHRI FOR CONGRESS,H2MI13204,THANEDAR,SHRI,,,,H,MI,13,,,,,,,,
SB23,C00139659,SB23.65330,,,CCM,SUOZZI FOR CONGRESS,,,,,,PO BOX 669,,GLEN COVE,NY,11542,G2024,,2024-10-17,5.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00607200,SUOZZI FOR CONGRESS,H6NY03247,SUOZZI,THOMAS,,,,H,NY,03,,,,,,,X,
SB23,C00139659,SB23.65331,,,CCM,SUOZZI FOR CONGRESS,,,,,,PO BOX 669,,GLEN COVE,NY,11542,G2024,,2024-10-22,20.00,,"earmarked conduit through ActBlue-Lorber, Jessica",,C00607200,SUOZZI FOR CONGRESS,H6NY03247,SUOZZI,THOMAS,,,,H,NY,03,,,,,,,X,
SB23,C00139659,SB23.65282,,,CCM,SUSAN WILD FOR CONGRESS,,,,,,1636 N CEDAR CREST BLVD,#183,ALLENTOWN,PA,18104,G2024,,2024-10-21,1000.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00658567,SUSAN WILD FOR CONGRESS,H8PA15229,WILD,SUSAN,,,,H,PA,15,,,,,,,X,
SB23,C00139659,SB23.65283,,,CCM,SUSAN WILD FOR CONGRESS,,,,,,1636 N CEDAR CREST BLVD,#183,ALLENTOWN,PA,18104,G2024,,2024-10-23,250.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00658567,SUSAN WILD FOR CONGRESS,H8PA15229,WILD,SUSAN,,,,H,PA,15,,,,,,,X,
SB23,C00139659,SB23.65333,,,CCM,SUSIE LEE FOR CONGRESS,,,,,,5130 S FORT APACHE RD,STE. 215-382,LAS VEGAS,NV,89148,G2024,,2024-10-22,20.00,,"earmarked conduit through ActBlue-Lorber, Jessica",,C00655613,SUSIE LEE FOR CONGRESS,H8NV03200,LEE,SUSIE,,,,H,NV,03,,,,,,,X,
SB23,C00139659,SB23.65280,,,CCM,TAMMY BALDWIN FOR SENATE,,,,,,P.O. BOX 696,,MADISON,WI,53701,G2024,,2024-10-17,10.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00326801,TAMMY BALDWIN FOR SENATE,S2WI00219,BALDWIN,TAMMY,,,,S,WI,00,,,,,,,X,
SB23,C00139659,SB23.65281,,,CCM,TAMMY BALDWIN FOR SENATE,,,,,,P.O. BOX 696,,MADISON,WI,53701,G2024,,2024-10-29,2000.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00326801,TAMMY BALDWIN FOR SENATE,S2WI00219,BALDWIN,TAMMY,,,,S,WI,00,,,,,,,X,
SB23,C00139659,SB23.65335,,,CCM,VARGAS FOR CONGRESS,,,,,,PO BOX 746,,BOYS TOWN,NE,68010,G2024,,2024-10-17,5.00,,"earmarked conduit through ActBlue-Sackheim, Kathy",,C00784371,VARGAS FOR CONGRESS,H2NE02132,VARGAS,ANTHONY 'TONY',,,,H,NE,02,,,,,,,X,
SB23,C00139659,SB23.65296,,,CCM,VINDMAN FOR CONGRESS,,,,,,"4222 FORTUNA CENTER PLZ, STE 664",,DUMFRIES,VA,22025,G2024,,2024-10-18,125.00,,"earmarked through ActBlue-Zisook, Amy",,C00856955,VINDMAN FOR CONGRESS,H4VA07234,VINDMAN,YEVGENY 'EUGENE',,,,H,VA,07,,,,,,,X,
SB23,C00139659,SB23.65297,,,CCM,VINDMAN FOR CONGRESS,,,,,,"4222 FORTUNA CENTER PLZ, STE 664",,DUMFRIES,VA,22025,G2024,,2024-10-21,500.00,,"earmarked conduit through ActBlue-Washlow, Roberta",,C00856955,VINDMAN FOR CONGRESS,H4VA07234,VINDMAN,YEVGENY 'EUGENE',,,,H,VA,07,,,,,,,X,
SB23,C00139659,SB23.65298,,,CCM,VINDMAN FOR CONGRESS,,,,,,"4222 FORTUNA CENTER PLZ, STE 664",,DUMFRIES,VA,22025,G2024,,2024-10-23,150.00,,"earmarked conduit through ActBlue-Yamner, Gail",,C00856955,VINDMAN FOR CONGRESS,H4VA07234,VINDMAN,YEVGENY 'EUGENE',,,,H,VA,07,,,,,,,X,
SB23,C00139659,SB23.64974,,,CCM,VINDMAN FOR CONGRESS,,,,,,"4222 FORTUNA CENTER PLZ, STE 664",,DUMFRIES,VA,22025,G2024,,2024-10-28,1500.00,,direct campaign contribution,,C00856955,VINDMAN FOR CONGRESS,H4VA07234,VINDMAN,YEVGENY 'EUGENE',,,,H,VA,07,,,,,,,,
SB23,C00139659,SB23.65483,,,CCM,VINDMAN FOR CONGRESS,,,,,,"4222 FORTUNA CENTER PLZ, STE 664",,DUMFRIES,VA,22025,G2024,,2024-11-04,1000.00,,direct campaign contribution,,C00856955,VINDMAN FOR CONGRESS,H4VA07234,VINDMAN,YEVGENY 'EUGENE',,,,H,VA,07,,,,,,,,
SB23,C00139659,SB23.65286,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-18,50.00,,"earmarked conduit through ActBlue-Trott, Peggy",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65287,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-20,100.00,,"earmarked conduit through ActBlue-Misskelly, Katherine",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65288,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-20,100.00,,"earmarked conduit through ActBlue-Ostroff, Sandra",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65289,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-20,100.00,,"earmarked conduit through ActBlue-Mikel, Paul",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65290,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-21,250.00,,"earmarked conduit through ActBlue-Hitt, Danny",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65291,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-22,50.00,,"earmarked conduit through ActBlue-Burns, Rhett",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65292,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-22,50.00,,"earmarked conduit through ActBlue-Angle, Jon",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65293,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-24,100.00,,"earmarked conduit through ActBlue-Ostroff, Sandra",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.65294,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-25,250.00,,"earmarked conduit through ActBlue-Ross, Marcia",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
SB23,C00139659,SB23.64983,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-28,1500.00,,direct campaign contribution,,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,,
SB23,C00139659,SB23.65295,,,CCM,WILL ROLLINS FOR CONGRESS,,,,,,31500 GRAPE STREET,STE 3-452,LAKE ELSINORE,CA,92532,G2024,,2024-10-30,10.00,,"earmarked conduit through ActBlue-Sahagun, Denise",,C00792507,WILL ROLLINS FOR CONGRESS,H2CA42205,ROLLINS,WILL,,,,H,CA,41,,,,,,,X,
