form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00754051,B892962,,,PAC,"We Vote, We Win",,,,,,1630 S. Commerce St.,,Las Vegas,NV,89102,O2024,Not Applicable,2024-10-24,50000.00,,State PAC,011,,,,,,,,,,, ,,,,,,,,
SB29,C00754051,B891546,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-11-01,1145.00,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891549,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-11-01,1490.39,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891553,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,152.21,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891581,,,CCM,UNITE HERE Local 7,,,,,,1800 North Charles Street Suite 90,,Baltimore,MD,21201,G2024,,2024-11-01,694.03,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891585,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,177.06,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891560,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-11-01,4171.72,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891563,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,1035.86,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891569,,,CCM,UNITE HERE Local 634,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,233.38,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891575,,,CCM,Local 878 UNITE HERE,,,,,,530 E. 4th Avenue,,Anchorage,AK,99501,G2024,,2024-11-01,93.08,,IE:Canvasser salaries and benefits for supporting Eugene DePasquale PA Atty General),011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891577,,,CCM,Local 878 UNITE HERE,,,,,,530 E. 4th Avenue,,Anchorage,AK,99501,G2024,,2024-11-01,93.08,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891570,,,CCM,UNITE HERE Local 634,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,233.38,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891564,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,1035.86,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891561,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-11-01,4171.72,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891587,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,177.06,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891582,,,CCM,UNITE HERE Local 7,,,,,,1800 North Charles Street Suite 90,,Baltimore,MD,21201,G2024,,2024-11-01,694.03,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891550,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-11-01,1490.39,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891555,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,152.21,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891547,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-11-01,1145.00,,IE:Canvasser salaries and benefits supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891592,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-11-01,255.41,,IE:Canvasser salaries and benefits for supporting Malcom Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891594,,,CCM,UNITE HERE,,,,,,275 Seventh Avenue,,New York,NY,10001,G2024,,2024-11-01,255.41,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891548,,,CCM,Local 23 UNITE HERE,,,,,,275 7th Ave,,New York,NY,10001,G2024,,2024-11-01,1145.00,,IE:Canvasser salaries and benefits supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891556,,,CCM,UNITE HERE Local 35,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,152.21,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891552,,,CCM,Local 25 UNITE HERE,,,,,,901 K Street NW Suite 200,,Washington,DC,20001,G2024,,2024-11-01,1490.39,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891583,,,CCM,UNITE HERE Local 7,,,,,,1800 North Charles Street Suite 90,,Baltimore,MD,21201,G2024,,2024-11-01,694.03,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891589,,,CCM,UNITE HERE Local 274,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,177.06,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891579,,,CCM,Local 878 UNITE HERE,,,,,,530 E. 4th Avenue,,Anchorage,AK,99501,G2024,,2024-11-01,93.08,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891562,,,CCM,UNITE HERE Local 54,,,,,,1014 Atlantic Avenue,,Atlantic City,NJ,08401,G2024,,2024-11-01,4171.72,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891566,,,CCM,UNITE HERE Local 217,,,,,,425 College Street,,New Haven,CT,06511,G2024,,2024-11-01,1035.86,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B891573,,,CCM,UNITE HERE Local 634,,,,,,1415 N. Broad Street Suite 219,,Philadelphia,PA,19122,G2024,,2024-11-01,233.38,,IE:Canvasser salaries and benefits for supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
SB29,C00754051,B893030,,,CCM,Scale to Win,,,,,,13742 Harper Street,,Santa Ana,CA,92703,G2024,,2024-11-03,70.10,,Phone bank and texting supporting Patty Kim starting 11/3,011,,,,Kim,Patty,,,,S,PA,15,,,,,,,,
SB29,C00754051,B891690,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-11-05,1221.48,,Printed voter literature for 11/4/2024 supporting Eugene DePasquale for PA Atty General,011,,,,DePasquale,Eugene,,,,,PA, ,,,,,,,,
SB29,C00754051,B891691,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-11-05,1221.48,,Printed voter literature for 11/4/2024 supporting Malcolm Kenyatta PA Auditor General,011,,,,Kenyatta,Malcom,,,,,PA, ,,,,,,,,
SB29,C00754051,B891692,,,CCM,Northern Liberty Press,,,,,,1223 North Mascher Street,,Philadelphia,PA,19122,G2024,,2024-11-05,1221.48,,Printed voter literature for 11/4/2024 supporting Erin McClelland for PA Treasurer,011,,,,McClelland,Erin,,,,,PA, ,,,,,,,,
